sigma,Id0,Is0,gs,cd,Corr_Vs_Vd,Corr_ER_Is,Corr_BF_Id,Multiplex_metric
414.9843666259902,383.4564321719349,868.6470663510271,3409.1672196553245,302.8440268426641,0.3243181535363595,0.7290714166515551,0.8078156800676077,0.7684435483595814
391.0257315847769,376.9181454279422,883.6668084308421,3565.116549171421,116.02967755972584,0.1953381748640495,0.8472971494269063,0.670105654465273,0.7587014019460896
558.3992286765911,275.02401458685205,807.2270842684604,2203.505883705644,879.0410640830227,0.3005189059653839,0.8115933105011527,0.6914778706750021,0.7515355905880774
589.8458225043382,392.7218736398759,906.6707312578302,2245.977262283725,415.0830415217061,0.350048167257891,0.6578020201293883,0.8033661791549257,0.730584099642157
754.0626883078937,227.1110800204069,752.3248593204211,1725.5496660165195,138.05030195929157,0.2258839924641,0.8740931614648828,0.5519668158089903,0.7130299886369366
415.8755056926353,229.63882395066807,646.925812973296,3516.461262334217,937.697519175628,0.2609568709291284,0.8170816656106542,0.5996044643077281,0.7083430649591911
339.18114424398215,377.67156703676886,635.2598760805186,2936.254696045652,445.7346662635825,0.2793574481126275,0.6413317884893361,0.7392316865169867,0.6902817375031614
497.370468238373,180.2631499806962,540.0208798889931,1707.0556572592943,1306.5495707679447,0.1957531529847238,0.8441225395651023,0.4916138096525571,0.6678681746088297
308.8780980129508,451.1770903025824,856.214851610085,1424.6676907696071,794.539275912044,0.2752926270165991,0.7204897358493627,0.612009497209996,0.6662496165296794
611.1454509369325,401.6437838275203,807.0032707729549,2008.977390568324,637.7258417224829,0.3996074238985504,0.4919731901303366,0.8297379301128289,0.6608555601215828
684.8736485206423,188.95916792491124,978.9858883599962,4491.912388697354,452.8505027956336,0.3473180337175263,0.8800614505494841,0.4402369524180189,0.6601492014837516
749.0988147686311,357.4954459173702,763.319127327951,1089.1625696917113,657.1210633628349,0.2813618411569532,0.7827085504282939,0.5178954519156815,0.6503020011719878
214.68353120004016,349.2442642937141,931.9759504636216,3281.308116313541,1079.0460287425913,0.3856852120726698,0.6453522270239876,0.6477265970886235,0.6465394120563055
627.6915698994446,380.18922437634376,906.467072392663,2963.1784900959474,428.0377608043456,0.4269953826362963,0.4900574042403088,0.80052392893085,0.6452906665855794
394.3568604194104,255.714545598334,759.579859371089,2492.662434413053,671.6845444880953,0.1503290214528059,0.8797515204445461,0.4046932502049263,0.6422223853247362
272.46024063548435,381.8813129939063,986.4150080807916,3008.4938038244263,951.5540910032348,0.4378101919561293,0.5908928276133383,0.6871499034552463,0.6390213655342922
301.8640022026641,387.5184950662485,596.1399201206762,2623.656012740028,252.92025588633803,0.1870534942187585,0.7300328018196482,0.5428351850633095,0.6364339934414789
255.47211939648145,412.0048371732216,888.3123290009929,2970.1909278339795,238.33567742831184,0.1645342027007341,0.8022820774433669,0.4693760600408219,0.6358290687420944
367.9967971226402,451.5081153465648,744.0259700945073,754.5992074640828,456.4788741155912,0.1534739813779706,0.8517041805362932,0.4134200700976683,0.6325621253169808
405.2768041387414,197.78303322337257,882.4487929827483,4373.152962160766,685.5074273489826,0.193664479589683,0.8821701797081526,0.3765643692760579,0.6293672744921053
373.6425219807608,336.3717436726485,495.947862183024,917.4541497517235,1749.3170750631737,0.2081516454995873,0.6098832180910398,0.6249126083747631,0.6173979132329015
495.9462786330836,428.1745547781009,879.5850111203418,3394.317342727522,361.17021971410367,0.4863129436318522,0.3448752915836896,0.8888963208097183,0.616885806196704
836.3173059028114,255.98154903133948,638.8206649674582,1718.5434306818747,794.0345732126148,0.3735440011373109,0.6164044573540793,0.616006472157248,0.6162054647556636
413.1860087578127,151.98506336526057,995.0043214261252,4679.905461523005,1361.1576098062428,0.4252878834945402,0.7918533142147455,0.421741627234087,0.6067974707244163
337.4143267133257,318.53802001594653,781.2969508175289,4376.369549350277,1088.713664496782,0.4905150299500739,0.4999276256580144,0.7131524290623426,0.6065400273601784
568.6159863972041,149.7481837597158,668.9956094251552,3018.286404102713,1773.7294903090622,0.4582894850147566,0.7535325708106401,0.4442795293975791,0.5989060501041096
205.2549284973393,177.83848228642046,466.85466223134136,4602.943296994574,1738.378774952869,0.2378547289612506,0.4216772170901571,0.7674850990545643,0.5945811580723607
782.7792853936311,206.50712356477192,891.2213560713598,4236.83616482639,527.1418798072764,0.4500754025460636,0.6452393830331168,0.5402361895177983,0.5927377862754575
228.7985779800363,358.47907146072646,667.1313271331751,3763.587310572245,430.6203705007439,0.1418950307645156,0.7551033287552115,0.4216400732336227,0.5883717009944172
913.6024384672344,231.99550425490145,934.5920853731348,3128.204128293862,654.6720243281572,0.4602736012599818,0.7147721384589619,0.4585745500881707,0.5866733442735663
467.36528323305913,316.7055022644171,458.5454346258672,989.1592477869932,906.5546560168292,0.2033145031540268,0.5545997835058957,0.6083828408941142,0.5814913122000049
878.2548989633233,188.1054231157409,900.3130583659116,1976.775057461944,187.01508146031776,0.2715424047371239,0.90769227999874,0.2534402039057457,0.5805662419522428
