phi,sigma,Id0,Is0,correlation
0.5110103800653824,106.57282391812821,367.59960593627613,670.4152985203978,0.3327748344058598
0.8498929289419639,28.73127903218713,351.7745629267801,610.1770007951732,0.317710401669209
0.7582663529829698,29.44842845138779,375.37319574934077,640.9831369821923,0.3135583506954061
0.5267580860069658,2.077045096569946,360.57969097543014,680.2966352962817,0.2803611414349725
0.43898036832237897,1.7610053650929158,348.55299649083565,679.2728863721644,0.25971983450809116
0.8759749531285116,396.6577889147471,324.2670986539287,600.9942826737022,0.24548330606337543
0.957257708826646,246.02663203344508,366.15732871542303,562.804464452748,0.23504894304243776
0.8247165219290221,106.06963529187834,344.0268242321398,630.6147396339835,0.2320083693700996
0.7414489997356816,141.46300873149758,331.3387943128087,628.3989489238581,0.22362512701788048
0.7005988071999142,78.34743398940964,309.5410901290664,674.9254325876215,0.2125735371467509
0.8687406951556604,104.05060493217285,358.2465800259185,636.4186932626901,0.18623767111924572
0.6506736694933517,406.78610132779323,338.45381096893885,629.6466669131913,0.18489700897580938
0.7044108161975722,287.76416489750716,350.2192689534453,631.5906987357635,0.18272054351329367
0.5292456951465552,8.225632673922728,305.5456426995143,650.6714173274479,0.17861449351182193
0.940200255508118,0.6323444634819819,379.739499038601,607.2184837585266,0.17178728507458738
0.9503082039299483,355.5731176634136,312.99223399627454,627.7255839867663,0.17168170075169717
0.4326193151678559,180.83483212500454,300.1221877668669,696.1292552018015,0.16383321494225003
0.15189640101188884,160.57385977787493,352.01310385687924,561.8381736397299,0.15643263859398418
0.6631465058422114,116.56210387768223,364.8503749609232,651.8866982875646,0.1549658902212924
0.5264045167211038,267.11848019362867,312.2227522646292,673.6031643941452,0.153815885605692
0.7005347332747207,270.9032333804272,353.7525507017155,627.5076785589953,0.15182318089507088
0.9077484101501483,158.47145035092436,368.3552863120452,616.2510244464669,0.15112725639087965
0.449652917699603,201.01801220894725,345.7693087103676,695.5186929157569,0.14960056172764288
0.5556634425936485,146.3895806395193,325.88449815238977,688.1738636920859,0.1484411589913238
0.4957185366365804,177.4219286828243,326.7079849221477,638.1810081718058,0.14163387324658194
0.5592320041769656,143.65460888330443,371.19125440941616,691.1656126399731,0.14158288695098512
0.8835815553628671,92.01501076564382,341.76114684704555,637.2447549583554,0.12927560854127576
0.8153238143946948,412.82311483482886,349.4835775265171,559.4412088975553,0.12133747269346018
0.7513402999139677,253.32759636583978,371.4809328091244,649.3607611691167,0.118931950538901
0.2554014944946369,390.899613153135,308.1103930977145,643.835514147904,0.11309766070226228
0.7787562892785719,377.17584212794327,302.6696873416592,670.6355015666143,0.11221861473014431
0.7530264831696915,155.3922761568693,308.9388399358444,648.533955139038,0.10733235329216861
0.7249426828048449,184.74259204461563,336.59763283340055,655.3521773146492,0.10650068557543535
0.49007790943765794,320.17767744887806,330.17709852844774,633.0006381394763,0.10272496957158388
0.6459243958146741,376.28890508965435,329.7148401907559,616.916595024698,0.1018932325925389
0.0029240042622262763,218.51588796102214,301.51781962573597,567.8032905703209,0.0987753710927971
0.846285656221573,337.9162899515338,374.7496779427916,639.566387517711,0.09088218657964643
0.9271883751667968,413.03985463400846,371.0229685826453,648.0052183201678,0.09026634899693671
0.7094713308409301,224.44642665130155,344.43560430992767,618.4370156742024,0.08922016106439656
0.8951930873776174,138.83293512426732,375.5459622461343,689.1331903569369,0.0880217016133134
0.6429564617505332,399.02902898523627,363.38028014817587,602.5888964606104,0.08157347441382587
0.9391866411077012,278.02147649674157,371.3468231279977,590.7879913102156,0.07930970058632046
0.919938713001241,368.46737127707075,304.62728754439047,634.7573338981601,0.07797510269574093
0.5108175349425929,288.68757206202963,345.6072681144898,689.595648924792,0.07670198417959567
0.9629567688336985,170.17720202398914,312.7432616066029,664.5512763875029,0.07663738894941409
0.618540477412237,439.638565197496,315.159438677883,610.051457737809,0.07471220148690617
0.7214797842247253,379.9089534311919,376.6375315537856,588.5634038796467,0.07352750055767825
